userid,tittle,grade
263,"蒙牛特仑苏 纯牛奶",3
97,"蒙牛特仑苏 纯牛奶",1
78,"蒙牛特仑苏 纯牛奶",0
295,"蒙牛特仑苏 纯牛奶",1
23,"蒙牛特仑苏 纯牛奶",0
133,"蒙牛特仑苏 纯牛奶",3
64,"蒙牛特仑苏 纯牛奶",5
249,"蒙牛特仑苏 纯牛奶",3
83,"蒙牛特仑苏 纯牛奶",5
222,"蒙牛特仑苏 纯牛奶",0
191,"蒙牛特仑苏 纯牛奶",5
40,"蒙牛特仑苏 纯牛奶",3
57,"蒙牛特仑苏 纯牛奶",3
227,"蒙牛特仑苏 纯牛奶",1
37,"蒙牛特仑苏 纯牛奶",3
153,"蒙牛特仑苏 纯牛奶",5
161,"蒙牛特仑苏 纯牛奶",1
119,"蒙牛特仑苏 纯牛奶",1
50,"蒙牛特仑苏 纯牛奶",2
69,"蒙牛特仑苏 纯牛奶",2
51,"蒙牛特仑苏 纯牛奶",3
167,"蒙牛特仑苏 纯牛奶",4
112,"蒙牛特仑苏 纯牛奶",1
266,"蒙牛特仑苏 纯牛奶",5
121,"蒙牛特仑苏 纯牛奶",2
260,"蒙牛特仑苏 纯牛奶",2
99,"蒙牛特仑苏 纯牛奶",0
299,"蒙牛特仑苏 纯牛奶",1
157,"蒙牛特仑苏 纯牛奶",3
140,"蒙牛特仑苏 纯牛奶",4
113,"蒙牛特仑苏 纯牛奶",0
137,"蒙牛特仑苏 纯牛奶",0
92,"蒙牛特仑苏 纯牛奶",1
285,"君乐宝 简醇 0添加蔗糖 风味酸牛奶",5
9,"君乐宝 简醇 0添加蔗糖 风味酸牛奶",2
253,"君乐宝 简醇 0添加蔗糖 风味酸牛奶",4
291,"君乐宝 简醇 0添加蔗糖 风味酸牛奶",2
140,"君乐宝 简醇 0添加蔗糖 风味酸牛奶",1
225,"君乐宝 简醇 0添加蔗糖 风味酸牛奶",1
236,"君乐宝 简醇 0添加蔗糖 风味酸牛奶",1
126,"君乐宝 简醇 0添加蔗糖 风味酸牛奶",1
71,"君乐宝 简醇 0添加蔗糖 风味酸牛奶",2
219,"百吉福 芝士片",0
35,"百吉福 芝士片",3
144,"百吉福 芝士片",2
132,"百吉福 芝士片",5
55,"百吉福 芝士片",5
218,"百吉福 芝士片",2
85,"百吉福 芝士片",4
50,"百吉福 芝士片",5
240,"百吉福 芝士片",0
40,"百吉福 芝士片",1
207,"百吉福 芝士片",2
199,"百吉福 芝士片",2
252,"法国百吉福 低脂芝士片",3
276,"法国百吉福 低脂芝士片",3
87,"法国百吉福 低脂芝士片",2
130,"法国百吉福 低脂芝士片",1
17,"法国百吉福 低脂芝士片",1
225,"法国百吉福 低脂芝士片",1
153,"法国百吉福 低脂芝士片",2
18,"法国百吉福 低脂芝士片",5
140,"法国百吉福 低脂芝士片",4
79,"法国百吉福 低脂芝士片",4
152,"法国百吉福 低脂芝士片",0
53,"法国百吉福 低脂芝士片",2
228,"法国百吉福 低脂芝士片",0
3,"法国百吉福 低脂芝士片",5
27,"法国百吉福 低脂芝士片",5
145,"法国百吉福 低脂芝士片",5
167,"法国百吉福 低脂芝士片",4
249,"法国百吉福 低脂芝士片",2
282,"法国百吉福 低脂芝士片",0
74,"法国百吉福 低脂芝士片",5
174,"法国百吉福 低脂芝士片",4
217,"法国百吉福 低脂芝士片",3
25,"法国百吉福 低脂芝士片",5
271,"法国百吉福 低脂芝士片",1
69,"法国百吉福 低脂芝士片",4
147,"法国百吉福 低脂芝士片",0
101,"法国百吉福 低脂芝士片",5
160,"法国百吉福 低脂芝士片",5
273,"法国百吉福 低脂芝士片",3
215,"法国百吉福 低脂芝士片",0
238,"法国百吉福 低脂芝士片",0
54,"法国百吉福 低脂芝士片",0
24,"法国百吉福 低脂芝士片",1
222,"法国百吉福 低脂芝士片",0
196,"法国百吉福 低脂芝士片",3
81,"法国百吉福 低脂芝士片",4
112,"法国百吉福 低脂芝士片",2
213,"法国百吉福 低脂芝士片",5
104,"法国百吉福 低脂芝士片",3
267,"法国百吉福 低脂芝士片",2
127,"伊利 高钙低脂",2
266,"伊利 高钙低脂",5
31,"星巴克 馥芮白大杯(全脂奶)",5
71,"星巴克 馥芮白大杯(全脂奶)",1
219,"星巴克 馥芮白大杯(全脂奶)",1
285,"星巴克 馥芮白大杯(全脂奶)",5
265,"星巴克 馥芮白大杯(全脂奶)",3
97,"星巴克 馥芮白大杯(全脂奶)",3
78,"星巴克 馥芮白大杯(全脂奶)",2
295,"星巴克 馥芮白大杯(全脂奶)",1
220,"星巴克 馥芮白大杯(全脂奶)",1
48,"星巴克 馥芮白大杯(全脂奶)",1
52,"星巴克 馥芮白大杯(全脂奶)",2
70,"星巴克 馥芮白大杯(全脂奶)",1
54,"星巴克 馥芮白大杯(全脂奶)",5
108,"星巴克 馥芮白大杯(全脂奶)",3
23,"星巴克 馥芮白大杯(全脂奶)",5
88,"星巴克 馥芮白大杯(全脂奶)",4
3,"星巴克 馥芮白大杯(全脂奶)",5
187,"星巴克 馥芮白大杯(全脂奶)",0
196,"星巴克 馥芮白大杯(全脂奶)",2
90,"星巴克 馥芮白大杯(全脂奶)",4
190,"星巴克 馥芮白大杯(全脂奶)",5
68,"星巴克 馥芮白大杯(全脂奶)",4
122,"星巴克 馥芮白大杯(全脂奶)",5
236,"星巴克 馥芮白大杯(全脂奶)",3
224,"星巴克 馥芮白大杯(全脂奶)",0
290,"星巴克 馥芮白大杯(全脂奶)",4
276,"星巴克 馥芮白大杯(全脂奶)",1
231,"星巴克 馥芮白大杯(全脂奶)",3
53,"星巴克 馥芮白大杯(全脂奶)",4
254,"星巴克 馥芮白大杯(全脂奶)",2
10,"星巴克 馥芮白大杯(全脂奶)",2
93,"星巴克 馥芮白大杯(全脂奶)",1
240,"星巴克 馥芮白大杯(全脂奶)",0
86,"星巴克 馥芮白大杯(全脂奶)",2
44,"星巴克 馥芮白大杯(全脂奶)",5
50,"星巴克 馥芮白大杯(全脂奶)",0
206,"伊利 舒化奶(低脂型)",0
74,"伊利 舒化奶(低脂型)",2
131,"伊利 舒化奶(低脂型)",0
257,"伊利 舒化奶(低脂型)",3
91,"伊利 舒化奶(低脂型)",1
78,"伊利 舒化奶(低脂型)",2
174,"伊利 舒化奶(低脂型)",5
167,"伊利 舒化奶(低脂型)",5
51,"伊利 舒化奶(低脂型)",3
7,"伊利 舒化奶(低脂型)",1
253,"伊利 舒化奶(低脂型)",0
23,"伊利 舒化奶(低脂型)",0
89,"伊利 舒化奶(低脂型)",5
73,"伊利 舒化奶(低脂型)",5
179,"伊利 舒化奶(低脂型)",0
57,"伊利 舒化奶(低脂型)",3
271,"伊利 舒化奶(低脂型)",5
236,"伊利 舒化奶(低脂型)",2
233,"伊利 舒化奶(低脂型)",2
177,"伊利 舒化奶(低脂型)",0
40,"伊利 舒化奶(低脂型)",3
241,"伊利 舒化奶(低脂型)",0
287,"伊利 舒化奶(低脂型)",5
282,"伊利 舒化奶(低脂型)",4
68,"伊利 舒化奶(低脂型)",3
216,"伊利 舒化奶(低脂型)",5
143,"伊利 舒化奶(低脂型)",4
96,"伊利 舒化奶(低脂型)",0
158,"伊利 舒化奶(低脂型)",2
53,"伊利 舒化奶(低脂型)",0
134,"伊利 舒化奶(低脂型)",2
126,"伊利 舒化奶(低脂型)",1
76,"伊利 舒化奶(低脂型)",5
1,"伊利 舒化奶(低脂型)",5
128,"伊利 舒化奶(低脂型)",1
182,"伊利 脱脂牛奶",0
247,"伊利 脱脂牛奶",2
213,"伊利 脱脂牛奶",3
240,"伊利 脱脂牛奶",5
167,"伊利 脱脂牛奶",2
17,"伊利 脱脂牛奶",1
244,"伊利 脱脂牛奶",1
258,"伊利 脱脂牛奶",4
293,"伊利 脱脂牛奶",4
24,"伊利 脱脂牛奶",3
275,"伊利 脱脂牛奶",5
201,"伊利 脱脂牛奶",3
117,"伊利 脱脂牛奶",3
285,"伊利 脱脂牛奶",3
68,"伊利 脱脂牛奶",0
64,"伊利 脱脂牛奶",4
5,"伊利 脱脂牛奶",2
189,"伊利 脱脂牛奶",4
3,"伊利 脱脂牛奶",4
67,"伊利 脱脂牛奶",3
271,"伊利 脱脂牛奶",1
99,"伊利 脱脂牛奶",2
146,"伊利 脱脂牛奶",5
254,"伊利 脱脂牛奶",3
118,"伊利 脱脂牛奶",4
66,"伊利 脱脂牛奶",0
16,"伊利 脱脂牛奶",0
250,"伊利 脱脂牛奶",5
92,"伊利 脱脂牛奶",3
298,"伊利 脱脂牛奶",3
39,"伊利 脱脂牛奶",3
83,"伊利 脱脂牛奶",2
163,"伊利 脱脂牛奶",3
184,"伊利 脱脂牛奶",4
195,"伊利 脱脂牛奶",0
206,"伊利 脱脂牛奶",2
95,"伊利 脱脂牛奶",0
136,"伊利 脱脂牛奶",4
296,"伊利 脱脂牛奶",5
171,"百吉福 减脂芝士片",0
161,"百吉福 减脂芝士片",3
128,"百吉福 减脂芝士片",1
76,"百吉福 减脂芝士片",1
229,"百吉福 减脂芝士片",1
295,"百吉福 减脂芝士片",2
228,"百吉福 减脂芝士片",1
137,"百吉福 减脂芝士片",4
77,"百吉福 减脂芝士片",4
202,"百吉福 减脂芝士片",0
155,"百吉福 减脂芝士片",4
147,"百吉福 减脂芝士片",0
243,"百吉福 减脂芝士片",5
37,"百吉福 减脂芝士片",0
6,"百吉福 减脂芝士片",0
12,"卡士 鲜酪乳  风味发酵乳",4
131,"卡士 鲜酪乳  风味发酵乳",0
16,"卡士 鲜酪乳  风味发酵乳",2
56,"卡士 鲜酪乳  风味发酵乳",1
154,"卡士 鲜酪乳  风味发酵乳",4
57,"卡士 鲜酪乳  风味发酵乳",0
68,"卡士 鲜酪乳  风味发酵乳",1
161,"卡士 鲜酪乳  风味发酵乳",5
222,"卡士 鲜酪乳  风味发酵乳",4
66,"卡士 鲜酪乳  风味发酵乳",1
60,"卡士 鲜酪乳  风味发酵乳",5
37,"卡士 鲜酪乳  风味发酵乳",2
146,"卡士 鲜酪乳  风味发酵乳",1
278,"卡士 鲜酪乳  风味发酵乳",0
270,"卡士 鲜酪乳  风味发酵乳",0
18,"卡士 鲜酪乳  风味发酵乳",3
81,"卡士 鲜酪乳  风味发酵乳",5
234,"卡士 鲜酪乳  风味发酵乳",3
155,"卡士 鲜酪乳  风味发酵乳",0
261,"卡士 鲜酪乳  风味发酵乳",4
207,"卡士 鲜酪乳  风味发酵乳",2
170,"卡士 鲜酪乳  风味发酵乳",2
10,"卡士 鲜酪乳  风味发酵乳",5
299,"卡士 鲜酪乳  风味发酵乳",3
269,"卡士 鲜酪乳  风味发酵乳",2
258,"卡士 鲜酪乳  风味发酵乳",2
280,"卡士 鲜酪乳  风味发酵乳",3
177,"卡士 鲜酪乳  风味发酵乳",2
22,"卡士 鲜酪乳  风味发酵乳",3
236,"卡士 鲜酪乳  风味发酵乳",3
110,"卡士 鲜酪乳  风味发酵乳",1
184,"卡士 鲜酪乳  风味发酵乳",2
92,"卡士 鲜酪乳  风味发酵乳",4
134,"卡士 鲜酪乳  风味发酵乳",0
189,"卡士 鲜酪乳  风味发酵乳",3
20,"卡士 鲜酪乳  风味发酵乳",1
134,"酸奶(中脂)",1
34,"酸奶(中脂)",2
7,"酸奶(中脂)",5
103,"酸奶(中脂)",3
96,"酸奶(中脂)",5
21,"酸奶(中脂)",3
80,"酸奶(中脂)",0
135,"酸奶(中脂)",5
197,"酸奶(中脂)",3
183,"酸奶(中脂)",0
43,"酸奶(中脂)",1
95,"酸奶(中脂)",3
177,"酸奶(中脂)",3
27,"酸奶(中脂)",2
36,"酸奶(中脂)",0
76,"酸奶(中脂)",4
107,"酸奶(中脂)",3
261,"酸奶(中脂)",5
265,"酸奶(中脂)",5
202,"酸奶(中脂)",1
106,"酸奶(中脂)",1
64,"酸奶(中脂)",4
11,"酸奶(中脂)",1
157,"酸奶(中脂)",5
98,"酸奶(中脂)",1
82,"酸奶(中脂)",1
233,"酸奶(中脂)",3
278,"酸奶(中脂)",1
70,"酸奶(中脂)",0
216,"酸奶(中脂)",3
1,"酸奶(中脂)",4
108,"酸奶(中脂)",5
262,"酸奶(中脂)",4
62,"酸奶(中脂)",1
146,"酸奶(中脂)",3
158,"酸奶(中脂)",1
113,"酸奶(中脂)",0
257,"酸奶(中脂)",0
264,"酸奶(中脂)",5
29,"酸奶(中脂)",3
213,"酸奶(中脂)",4
116,"德运 全脂奶粉",5
202,"德运 全脂奶粉",0
39,"德运 全脂奶粉",5
82,"德运 全脂奶粉",3
275,"德运 全脂奶粉",5
6,"德运 全脂奶粉",1
59,"德运 全脂奶粉",1
150,"德运 全脂奶粉",2
217,"德运 全脂奶粉",0
16,"德运 全脂奶粉",3
138,"德运 全脂奶粉",1
186,"德运 全脂奶粉",4
189,"安慕希 希腊风味酸奶(黄桃＋燕麦)",0
258,"安慕希 希腊风味酸奶(黄桃＋燕麦)",4
139,"安慕希 希腊风味酸奶(黄桃＋燕麦)",3
57,"安慕希 希腊风味酸奶(黄桃＋燕麦)",0
184,"安慕希 希腊风味酸奶(黄桃＋燕麦)",0
244,"安慕希 希腊风味酸奶(黄桃＋燕麦)",0
63,"安慕希 希腊风味酸奶(黄桃＋燕麦)",3
160,"安慕希 希腊风味酸奶(黄桃＋燕麦)",3
133,"安慕希 希腊风味酸奶(黄桃＋燕麦)",3
94,"安慕希 希腊风味酸奶(黄桃＋燕麦)",4
200,"安慕希 希腊风味酸奶(黄桃＋燕麦)",3
71,"安慕希 希腊风味酸奶(黄桃＋燕麦)",0
265,"安慕希 希腊风味酸奶(黄桃＋燕麦)",1
236,"安慕希 希腊风味酸奶(黄桃＋燕麦)",0
201,"安慕希 希腊风味酸奶(黄桃＋燕麦)",5
174,"maxigenes Maxigenes 蓝胖子奶粉",5
30,"maxigenes Maxigenes 蓝胖子奶粉",1
47,"maxigenes Maxigenes 蓝胖子奶粉",2
122,"maxigenes Maxigenes 蓝胖子奶粉",3
22,"maxigenes Maxigenes 蓝胖子奶粉",0
255,"maxigenes Maxigenes 蓝胖子奶粉",2
24,"maxigenes Maxigenes 蓝胖子奶粉",4
54,"maxigenes Maxigenes 蓝胖子奶粉",3
37,"maxigenes Maxigenes 蓝胖子奶粉",5
282,"maxigenes Maxigenes 蓝胖子奶粉",3
236,"maxigenes Maxigenes 蓝胖子奶粉",2
40,"maxigenes Maxigenes 蓝胖子奶粉",3
32,"maxigenes Maxigenes 蓝胖子奶粉",2
128,"maxigenes Maxigenes 蓝胖子奶粉",0
36,"maxigenes Maxigenes 蓝胖子奶粉",3
94,"maxigenes Maxigenes 蓝胖子奶粉",2
257,"maxigenes Maxigenes 蓝胖子奶粉",1
68,"maxigenes Maxigenes 蓝胖子奶粉",4
43,"maxigenes Maxigenes 蓝胖子奶粉",5
126,"德运 脱脂奶粉",5
136,"德运 脱脂奶粉",1
191,"德运 脱脂奶粉",0
30,"德运 脱脂奶粉",1
215,"德运 脱脂奶粉",2
82,"德运 脱脂奶粉",0
24,"德运 脱脂奶粉",1
143,"德运 脱脂奶粉",2
36,"德运 脱脂奶粉",4
113,"伊利 舒化奶",4
209,"伊利 舒化奶",5
272,"伊利 舒化奶",5
82,"伊利 舒化奶",0
239,"伊利 舒化奶",1
257,"伊利 舒化奶",5
285,"伊利 舒化奶",5
148,"伊利 舒化奶",4
261,"伊利 舒化奶",1
164,"伊利 舒化奶",2
76,"伊利 舒化奶",3
151,"伊利 舒化奶",2
229,"伊利 舒化奶",0
27,"伊利 舒化奶",2
240,"伊利 舒化奶",0
122,"伊利 舒化奶",4
225,"伊利 舒化奶",5
266,"伊利 舒化奶",0
218,"伊利 舒化奶",1
103,"伊利 舒化奶",1
87,"伊利 舒化奶",2
78,"伊利 舒化奶",2
144,"伊利 舒化奶",4
143,"伊利 舒化奶",1
60,"伊利 舒化奶",4
10,"伊利 舒化奶",1
196,"伊利 舒化奶",4
183,"伊利 舒化奶",2
61,"伊利 舒化奶",0
208,"伊利 舒化奶",1
194,"伊利 舒化奶",2
15,"伊利 舒化奶",1
102,"伊利 舒化奶",5
292,"伊利 舒化奶",4
268,"伊利 舒化奶",5
171,"伊利 舒化奶",1
247,"伊利 舒化奶",2
89,"伊利 舒化奶",2
222,"伊利 舒化奶",4
111,"伊利 舒化奶",4
152,"伊利 舒化奶",0
72,"伊利 舒化奶",3
176,"蒙牛 纯牛奶",0
63,"奶片",1
136,"奶片",2
10,"奶片",3
71,"奶片",5
222,"奶片",0
224,"奶片",2
110,"奶片",5
193,"奶片",3
42,"奶片",1
174,"奶片",2
252,"奶片",0
145,"奶片",1
125,"奶片",2
259,"奶片",4
118,"奶片",5
277,"奶片",2
144,"奶片",0
279,"奶片",5
136,"酸奶(果料)",2
33,"酸奶(果料)",0
277,"酸奶(果料)",3
49,"酸奶(果料)",1
86,"酸奶(果料)",2
268,"酸奶(果料)",1
273,"酸奶(果料)",1
284,"酸奶(果料)",0
212,"酸奶(果料)",3
147,"酸奶(果料)",2
126,"酸奶(果料)",3
263,"酸奶(果料)",1
294,"酸奶(果料)",0
1,"酸奶(果料)",1
190,"酸奶(果料)",0
89,"酸奶(果料)",0
201,"酸奶(果料)",5
46,"酸奶(果料)",1
223,"酸奶(果料)",5
176,"酸奶(果料)",1
179,"酸奶(果料)",0
111,"酸奶(果料)",1
255,"酸奶(果料)",2
112,"酸奶(果料)",0
131,"酸奶(果料)",4
80,"酸奶(果料)",0
109,"酸奶(果料)",2
135,"酸奶(果料)",5
222,"酸奶(果料)",3
75,"伊利 酸牛奶(原味)",2
294,"伊利 酸牛奶(原味)",4
255,"伊利 酸牛奶(原味)",4
248,"伊利 酸牛奶(原味)",0
246,"伊利 酸牛奶(原味)",5
44,"伊利 酸牛奶(原味)",1
236,"伊利 酸牛奶(原味)",3
66,"伊利 酸牛奶(原味)",1
58,"伊利 酸牛奶(原味)",1
214,"伊利 酸牛奶(原味)",3
5,"伊利 酸牛奶(原味)",1
103,"伊利 酸牛奶(原味)",1
60,"伊利 酸牛奶(原味)",2
260,"伊利 酸牛奶(原味)",4
89,"伊利 酸牛奶(原味)",0
227,"伊利 酸牛奶(原味)",1
207,"伊利 酸牛奶(原味)",4
163,"伊利 酸牛奶(原味)",0
192,"伊利 酸牛奶(原味)",4
298,"伊利 酸牛奶(原味)",5
134,"伊利 酸牛奶(原味)",5
291,"伊利 酸牛奶(原味)",5
41,"伊利 酸牛奶(原味)",2
250,"伊利 酸牛奶(原味)",4
149,"伊利 酸牛奶(原味)",1
173,"伊利 酸牛奶(原味)",5
92,"伊利 酸牛奶(原味)",4
284,"伊利 酸牛奶(原味)",1
263,"伊利 酸牛奶(原味)",5
225,"伊利 酸牛奶(原味)",4
175,"伊利 酸牛奶(原味)",5
222,"蒙牛 脱脂纯牛奶",4
183,"蒙牛 脱脂纯牛奶",1
10,"蒙牛 脱脂纯牛奶",0
166,"蒙牛 脱脂纯牛奶",4
221,"蒙牛 脱脂纯牛奶",1
55,"蒙牛 脱脂纯牛奶",5
165,"蒙牛 脱脂纯牛奶",4
57,"蒙牛 脱脂纯牛奶",0
65,"蒙牛 脱脂纯牛奶",0
252,"蒙牛 脱脂纯牛奶",1
154,"蒙牛 脱脂纯牛奶",2
24,"蒙牛 脱脂纯牛奶",4
91,"蒙牛 脱脂纯牛奶",2
83,"蒙牛 脱脂纯牛奶",5
40,"蒙牛 脱脂纯牛奶",3
50,"德亚 全脂牛奶",2
219,"德亚 全脂牛奶",5
172,"德亚 全脂牛奶",1
186,"德亚 全脂牛奶",1
122,"德亚 全脂牛奶",0
227,"德亚 全脂牛奶",2
59,"德亚 全脂牛奶",2
113,"德亚 全脂牛奶",4
58,"德亚 全脂牛奶",1
192,"德亚 全脂牛奶",5
268,"德亚 全脂牛奶",1
190,"德亚 全脂牛奶",5
255,"德亚 全脂牛奶",4
137,"德亚 全脂牛奶",4
80,"德亚 全脂牛奶",5
219,"舒化 (低脂型)无乳糖牛奶",1
223,"舒化 (低脂型)无乳糖牛奶",0
109,"舒化 (低脂型)无乳糖牛奶",3
8,"舒化 (低脂型)无乳糖牛奶",5
170,"舒化 (低脂型)无乳糖牛奶",5
276,"舒化 (低脂型)无乳糖牛奶",2
226,"舒化 (低脂型)无乳糖牛奶",4
53,"舒化 (低脂型)无乳糖牛奶",2
150,"舒化 (低脂型)无乳糖牛奶",2
123,"舒化 (低脂型)无乳糖牛奶",1
5,"舒化 (低脂型)无乳糖牛奶",2
282,"舒化 (低脂型)无乳糖牛奶",2
121,"舒化 (低脂型)无乳糖牛奶",4
12,"舒化 (低脂型)无乳糖牛奶",0
254,"舒化 (低脂型)无乳糖牛奶",2
175,"舒化 (低脂型)无乳糖牛奶",0
185,"舒化 (低脂型)无乳糖牛奶",5
38,"舒化 (低脂型)无乳糖牛奶",3
263,"舒化 (低脂型)无乳糖牛奶",5
80,"舒化 (低脂型)无乳糖牛奶",4
261,"舒化 (低脂型)无乳糖牛奶",1
126,"舒化 (低脂型)无乳糖牛奶",2
161,"舒化 (低脂型)无乳糖牛奶",2
65,"舒化 (低脂型)无乳糖牛奶",3
23,"舒化 (低脂型)无乳糖牛奶",5
198,"舒化 (低脂型)无乳糖牛奶",4
52,"舒化 (低脂型)无乳糖牛奶",4
177,"舒化 (低脂型)无乳糖牛奶",3
250,"舒化 (低脂型)无乳糖牛奶",5
216,"舒化 (低脂型)无乳糖牛奶",3
28,"舒化 (低脂型)无乳糖牛奶",1
235,"舒化 (低脂型)无乳糖牛奶",2
101,"舒化 (低脂型)无乳糖牛奶",5
76,"舒化 (低脂型)无乳糖牛奶",3
287,"舒化 (低脂型)无乳糖牛奶",4
61,"舒化 (低脂型)无乳糖牛奶",0
114,"舒化 (低脂型)无乳糖牛奶",5
193,"舒化 (低脂型)无乳糖牛奶",0
137,"舒化 (低脂型)无乳糖牛奶",0
157,"舒化 (低脂型)无乳糖牛奶",5
186,"舒化 (低脂型)无乳糖牛奶",0
73,"舒化 (低脂型)无乳糖牛奶",4
117,"光明 优加纯牛奶",1
65,"美可卓 脱脂高钙奶粉",1
244,"美可卓 脱脂高钙奶粉",5
282,"美可卓 脱脂高钙奶粉",2
237,"美可卓 脱脂高钙奶粉",1
8,"美可卓 脱脂高钙奶粉",1
128,"美可卓 脱脂高钙奶粉",3
192,"美可卓 脱脂高钙奶粉",2
204,"美可卓 脱脂高钙奶粉",2
25,"美可卓 脱脂高钙奶粉",4
117,"美可卓 脱脂高钙奶粉",5
206,"美可卓 脱脂高钙奶粉",5
87,"美可卓 脱脂高钙奶粉",4
90,"美可卓 脱脂高钙奶粉",0
107,"美可卓 脱脂高钙奶粉",4
4,"美可卓 脱脂高钙奶粉",1
254,"美可卓 脱脂高钙奶粉",2
214,"美可卓 脱脂高钙奶粉",4
46,"美可卓 脱脂高钙奶粉",1
115,"美可卓 脱脂高钙奶粉",5
126,"美可卓 脱脂高钙奶粉",0
193,"美可卓 脱脂高钙奶粉",1
208,"美可卓 脱脂高钙奶粉",3
269,"美可卓 脱脂高钙奶粉",0
216,"美可卓 脱脂高钙奶粉",2
174,"美可卓 脱脂高钙奶粉",4
232,"美可卓 脱脂高钙奶粉",5
75,"美可卓 脱脂高钙奶粉",5
235,"美可卓 脱脂高钙奶粉",0
255,"美可卓 脱脂高钙奶粉",2
108,"美可卓 脱脂高钙奶粉",3
79,"美可卓 脱脂高钙奶粉",3
277,"美可卓 脱脂高钙奶粉",2
39,"美可卓 脱脂高钙奶粉",4
223,"德亚 纯牛奶",0
3,"德亚 纯牛奶",4
112,"德亚 纯牛奶",1
76,"德亚 纯牛奶",0
177,"德亚 纯牛奶",1
236,"光明 如实纯净发酵乳",2
229,"光明 如实纯净发酵乳",1
156,"光明 如实纯净发酵乳",5
49,"光明 如实纯净发酵乳",0
207,"光明 如实纯净发酵乳",1
220,"光明 如实纯净发酵乳",2
194,"光明 如实纯净发酵乳",5
61,"光明 如实纯净发酵乳",4
117,"光明 如实纯净发酵乳",1
1,"光明 如实纯净发酵乳",5
197,"光明 如实纯净发酵乳",0
132,"光明 如实纯净发酵乳",1
111,"光明 如实纯净发酵乳",3
231,"光明 如实纯净发酵乳",4
104,"光明 如实纯净发酵乳",2
95,"光明 如实纯净发酵乳",4
267,"光明 如实纯净发酵乳",5
226,"光明 如实纯净发酵乳",4
255,"光明 如实纯净发酵乳",5
190,"光明 如实纯净发酵乳",0
289,"光明 如实纯净发酵乳",4
146,"光明 如实纯净发酵乳",5
244,"光明 如实纯净发酵乳",0
271,"光明 如实纯净发酵乳",5
98,"光明 如实纯净发酵乳",1
234,"光明 如实纯净发酵乳",0
68,"光明 如实纯净发酵乳",5
243,"光明 如实纯净发酵乳",1
74,"光明 如实纯净发酵乳",5
248,"光明 如实纯净发酵乳",5
4,"光明 如实纯净发酵乳",5
154,"光明 如实纯净发酵乳",3
126,"光明 如实纯净发酵乳",1
284,"光明 如实纯净发酵乳",2
141,"光明 如实纯净发酵乳",0
165,"光明 如实纯净发酵乳",3
242,"光明 如实纯净发酵乳",2
212,"光明 如实纯净发酵乳",1
3,"光明 如实纯净发酵乳",0
109,"光明 如实纯净发酵乳",2
266,"光明 如实纯净发酵乳",1
178,"光明 如实纯净发酵乳",0
127,"光明 如实纯净发酵乳",5
3,"金典 纯牛奶",1
36,"金典 纯牛奶",4
152,"金典 纯牛奶",3
270,"金典 纯牛奶",5
276,"金典 纯牛奶",5
150,"金典 纯牛奶",2
200,"金典 纯牛奶",2
20,"金典 纯牛奶",5
191,"金典 纯牛奶",3
44,"金典 纯牛奶",5
271,"金典 纯牛奶",5
254,"金典 纯牛奶",5
69,"金典 纯牛奶",5
84,"金典 纯牛奶",3
102,"金典 纯牛奶",2
57,"金典 纯牛奶",4
136,"金典 纯牛奶",5
99,"金典 纯牛奶",1
275,"金典 纯牛奶",3
287,"金典 纯牛奶",5
104,"金典 纯牛奶",3
278,"金典 纯牛奶",1
33,"金典 纯牛奶",5
139,"金典 纯牛奶",4
52,"金典 纯牛奶",1
160,"金典 纯牛奶",3
206,"金典 纯牛奶",1
173,"金典 纯牛奶",0
76,"金典 纯牛奶",0
298,"金典 纯牛奶",5
264,"金典 纯牛奶",1
49,"金典 纯牛奶",2
217,"金典 纯牛奶",3
75,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",1
185,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",3
89,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",0
153,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",4
222,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",2
9,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",2
31,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",2
21,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",4
100,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",5
70,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",2
246,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",2
158,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",3
234,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",1
271,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",0
93,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",5
237,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",0
113,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",0
204,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",4
134,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",3
221,"光明 优倍 0脂肪 高品质脱脂鲜牛奶",2
88,"蒙牛特仑苏 低脂牛奶",3
99,"蒙牛特仑苏 低脂牛奶",3
103,"蒙牛特仑苏 低脂牛奶",4
271,"蒙牛特仑苏 低脂牛奶",0
176,"蒙牛特仑苏 低脂牛奶",5
