tittle,feature
"贝蒂斯特级初榨橄榄油","高脂肪"
"多力 玉米油","高热量"
"多力 玉米油","高脂肪"
"红烧鳓鱼","高蛋白"
"锅包肉","高热量"
"肉饼","高热量"
"南瓜汤","低热量"
"红糖","高热量"
"红糖","高糖"
"辣椒酱","低热量"
"TEDDIE 花生酱(颗粒)","高热量"
"TEDDIE 花生酱(颗粒)","高脂肪"
"TEDDIE 花生酱(颗粒)","高蛋白"
"千岛沙拉酱","高热量"
"千岛沙拉酱","高脂肪"
"雪菜","低热量"
"雪菜","高纤维"
"腐乳(红)","高蛋白"
"沙拉酱(色拉酱)","高热量"
"沙拉酱(色拉酱)","高脂肪"
"苹果醋","低热量"
"冰糖","高热量"
"冰糖","高糖"
"红豆沙","高热量"
"红豆沙","高糖"
"腐乳(白)","高蛋白"
"阿香婆 牛肉酱()","高热量"
"阿香婆 牛肉酱()","高脂肪"
"黑胡椒","高热量"
"黑胡椒","高糖"
"黑胡椒","高蛋白"
"辣椒粉","高热量"
"辣椒粉","高糖"
"辣椒粉","高蛋白"
"辣椒粉","高纤维"
"剁辣椒","高纤维"
"豆瓣酱","高蛋白"
"蜂蜜(槐花)","高热量"
"蜂蜜(槐花)","高糖"
"胡椒粉","高热量"
"胡椒粉","高糖"
"鸡精","高蛋白"
"糟豆腐乳","高蛋白"
"好乐门 淡味蛋黄酱方便装(复合调味料)","高热量"
"好乐门 淡味蛋黄酱方便装(复合调味料)","高脂肪"
"恋奶精球","高热量"
"恋奶精球","高脂肪"
"利民 蒜蓉辣酱","高纤维"
"豆沙","高热量"
"豆沙","高糖"
"华海顺达 拌凉菜","高热量"
"华海顺达 拌凉菜","高糖"
"华海顺达 拌凉菜","高蛋白"
"豆瓣辣酱","高纤维"
"草莓酱","高热量"
"草莓酱","高糖"
"酱萝卜","低热量"
"芝麻酱红糖饼","高热量"
"东北卷煎","高热量"
"东北卷煎","高蛋白"
"豆渣玉米面窝窝头","高热量"
"豆渣玉米面窝窝头","高糖"
"豆渣玉米面窝窝头","高蛋白"
"豆渣玉米面窝窝头","高纤维"
"黄米炸糕","高热量"
"黄米炸糕","高糖"
"白鸡","高蛋白"
"煎烧虾饼","高蛋白"
"烩松茸","高热量"
"长春酱肉","高热量"
"长春酱肉","高脂肪"
"生煎马哈鱼","高热量"
"生煎马哈鱼","高蛋白"
"焖香鸡","高热量"
"焖香鸡","高脂肪"
"焖香鸡","高蛋白"
"东北炒肉拉皮","高蛋白"
"爆炒香螺","高蛋白"
"糖醋三文鱼","高热量"
"糖醋三文鱼","高蛋白"
"豆面团子","高热量"
"豆面团子","高糖"
"自制扒猪脸","高热量"
"自制扒猪脸","高脂肪"
"李记坛肉","高热量"
"李记坛肉","高脂肪"
"李记坛肉","高蛋白"
"长白糕","高热量"
"长白糕","高糖"
"卷肘花","高热量"
"卷肘花","高脂肪"
"卷肘花","高蛋白"
"砂锅鱼翅","高热量"
"砂锅鱼翅","高蛋白"
"拌麻汁鲍鱼","高蛋白"
"香菇粉丝白菜汤","低热量"
"锅爆肉","高热量"
"锅爆肉","高脂肪"
"锅爆肉","高蛋白"
"长春罐焖鸡","高蛋白"
"糖醋瓦块鱼","高蛋白"
"水煎玉米饼","高热量"
"绿豆芽拌干丝","低热量"
"爆煎鲤鱼","高蛋白"
"葱花缸炉","高热量"
"葱花缸炉","高脂肪"
"东北家常熬鱼","高热量"
"东北家常熬鱼","高蛋白"
"清蒸网油红鲷","高蛋白"
"风鸡","高蛋白"
"酥海带","高热量"
"片白肉","高热量"
"片白肉","高脂肪"
"炝腐竹鲜蘑","高蛋白"
"拌四丝","高蛋白"
"松子全鱼","高热量"
"松子全鱼","高蛋白"
"丘比 沙拉酱","高热量"
"丘比 沙拉酱","高脂肪"
"户户 炸酱","高蛋白"
"咖喱粉","高热量"
"咖喱粉","高糖"
"咖喱粉","高蛋白"
"海天 味极鲜酱油","高蛋白"
"丘比 沙拉汁(焙煎芝麻口味)","高热量"
"丘比 沙拉汁(焙煎芝麻口味)","高脂肪"
"Pic's 颗粒花生酱","高热量"
"Pic's 颗粒花生酱","高脂肪"
"Pic's 颗粒花生酱","高蛋白"
"Pic's 颗粒花生酱","高纤维"
"咖喱酱","高热量"
"咖喱酱","高脂肪"
"咖喱酱","高纤维"
"丘比 草莓酱","高热量"
"丘比 草莓酱","高糖"
"皮家 麻汁","高热量"
"皮家 麻汁","高脂肪"
"皮家 麻汁","高蛋白"
"鸡翅","高热量"
"鸡翅","高蛋白"
"瓦罐鸡汤(无料)","低热量"
"麦当劳 薯条","高热量"
"薯片(烧烤味)","高热量"
"薯片(烧烤味)","高糖"
"薯片(烧烤味)","高脂肪"
"薯片(烧烤味)","高纤维"
"肯德基 葡式蛋挞","高热量"
"肯德基 葡式蛋挞","高脂肪"
"巧克力(黑)","高热量"
"巧克力(黑)","高糖"
"巧克力(黑)","高脂肪"
"巧克力(黑)","高纤维"
"桃酥","高热量"
"桃酥","高糖"
"桃酥","高脂肪"
"月饼(豆沙)","高热量"
"月饼(豆沙)","高糖"
"爆米花","高热量"
"爆米花","高糖"
"爆米花","高蛋白"
"爆米花","高纤维"
"肯德基 老北京鸡肉卷","高热量"
"肯德基 老北京鸡肉卷","高蛋白"
"苏打饼干","高热量"
"苏打饼干","高糖"
"麻花","高热量"
"麻花","高糖"
"麻花","高脂肪"
"绿豆饼","高蛋白"
"肯德基 薯条","高热量"
"沙琪玛蛋酥","高热量"
"沙琪玛蛋酥","高糖"
"沙琪玛蛋酥","高脂肪"
"卫龙 大面筋","高热量"
"卫龙 大面筋","高脂肪"
"麦当劳 脆薯饼","高热量"
"麦当劳 脆薯饼","高脂肪"
"德芙 香浓黑巧克力","高热量"
"德芙 香浓黑巧克力","高糖"
"德芙 香浓黑巧克力","高脂肪"
"双汇 王中王","高蛋白"
"绿豆糕","高热量"
"绿豆糕","高糖"
"绿豆糕","高蛋白"
"麦当劳 香芋派","高热量"
"海苔","高热量"
"海苔","高糖"
"海苔","高蛋白"
"海苔","高纤维"
"山楂果丹皮","高热量"
"山楂果丹皮","高糖"
"丽芝士 芝士威化","高热量"
"丽芝士 芝士威化","高糖"
"蛋糕(黄蛋糕)","高热量"
"蛋糕(黄蛋糕)","高糖"
"费列罗 巧克力","高热量"
"费列罗 巧克力","高脂肪"
"红薯片","高热量"
"红薯片","高糖"
"红薯片","高脂肪"
"饼干(咸)","高热量"
"饼干(咸)","高糖"
"饼干(咸)","高脂肪"
"饼干(咸)","高纤维"
"瑞士莲 特级纯味85%黑巧克力","高热量"
"瑞士莲 特级纯味85%黑巧克力","高脂肪"
"瑞士莲 特级纯味85%黑巧克力","高蛋白"
"瑞士莲 特级纯味85%黑巧克力","高纤维"
"雀巢 脆脆鲨","高热量"
"雀巢 脆脆鲨","高糖"
"雀巢 脆脆鲨","高脂肪"
"牛奶饼干","高热量"
"牛奶饼干","高糖"
"锅巴(豆香)","高热量"
"锅巴(豆香)","高糖"
"锅巴(豆香)","高脂肪"
"锅巴(豆香)","高纤维"
"蛋糕(巧克力)","高热量"
"蛋糕(巧克力)","高脂肪"
"奥利奥 夹心饼干(草莓味)","高热量"
"奥利奥 夹心饼干(草莓味)","高糖"
"奥利奥 夹心饼干(草莓味)","高脂肪"
"月饼(枣泥)","高热量"
"月饼(枣泥)","高糖"
"乐事 薯片鲜浓番茄味","高热量"
"乐事 薯片鲜浓番茄味","高糖"
"乐事 薯片鲜浓番茄味","高脂肪"
"西式蛋糕","高热量"
"西式蛋糕","高糖"
"旺旺 雪饼(香辣味)","高热量"
"旺旺 雪饼(香辣味)","高糖"
"奶油饼干","高热量"
"奶油饼干","高糖"
"乐事 薯片(意大利香浓红烩味)","高热量"
"乐事 薯片(意大利香浓红烩味)","高糖"
"乐事 薯片(意大利香浓红烩味)","高脂肪"
"空心脆枣","高热量"
"空心脆枣","高糖"
"好丽友 蛋黄派[注心蛋黄派]","高热量"
"好丽友 蛋黄派[注心蛋黄派]","高脂肪"
"丹麦蓝罐 曲奇","高热量"
"丹麦蓝罐 曲奇","高糖"
"丹麦蓝罐 曲奇","高脂肪"
"卡夫 太平梳打饼干香葱口味","高热量"
"卡夫 太平梳打饼干香葱口味","高糖"
"肯德基 原味圣代(巧克力酱)","高热量"
"趣多多 香脆曲奇巧克力味","高热量"
"趣多多 香脆曲奇巧克力味","高糖"
"趣多多 香脆曲奇巧克力味","高脂肪"
"花生牛轧糖","高热量"
"花生牛轧糖","高糖"
"虾片","高热量"
"虾片","高糖"
"虾片","高脂肪"
"奧利奥 奥利奥 夹心饼干(巧克力味)","高热量"
"奧利奥 奥利奥 夹心饼干(巧克力味)","高糖"
"奧利奥 奥利奥 夹心饼干(巧克力味)","高脂肪"
"黑森林 蛋糕","高热量"
"麦当劳 菠萝派","高热量"
"太平 椒盐味梳打饼干","高热量"
"太平 椒盐味梳打饼干","高糖"
"好吃点 高纤粗粮饼","高热量"
"好吃点 高纤粗粮饼","高脂肪"
"好吃点 高纤粗粮饼","高纤维"
"奶油","高热量"
"奶油","高脂肪"
"猫耳王 猫耳朵","高热量"
"猫耳王 猫耳朵","高糖"
"棉花糖","高热量"
"棉花糖","高糖"
"蚕豆(炸)","高热量"
"蚕豆(炸)","高蛋白"
"蛋糕(水果)","高热量"
"蛋糕(水果)","高糖"
"饼干(苏打夹心)","高热量"
"饼干(苏打夹心)","高糖"
"饼干(苏打夹心)","高纤维"
"旺旺 仙贝","高热量"
"旺旺 仙贝","高糖"
"旺旺 仙贝","高脂肪"
"德芙 牛奶巧克力","高热量"
"德芙 牛奶巧克力","高糖"
"德芙 牛奶巧克力","高脂肪"
"薯片(香辣味)","高热量"
"薯片(香辣味)","高脂肪"
"薯片(香辣味)","高纤维"
"大白兔 奶糖","高热量"
"大白兔 奶糖","高糖"
"士力架 巧克力","高热量"
"士力架 巧克力","高糖"
"士力架 巧克力","高脂肪"
"水果味软糖","高热量"
"水果味软糖","高糖"
"乐购 核桃仁","高热量"
"乐购 核桃仁","高脂肪"
"乐购 核桃仁","高蛋白"
"乐购 核桃仁","高纤维"
"什锦糖果","高热量"
"什锦糖果","高糖"
"炸洋葱圈","高热量"
"炸洋葱圈","高糖"
"炸洋葱圈","高脂肪"
"雪米饼","高热量"
"雪米饼","高糖"
"蜜麻花","高热量"
"蜜麻花","高糖"
"费列罗 牛奶巧克力","高热量"
"费列罗 牛奶巧克力","高脂肪"
"山楂球","高热量"
"山楂球","高糖"
"德芙 榛仁巧克力","高热量"
"德芙 榛仁巧克力","高糖"
"德芙 榛仁巧克力","高脂肪"
"凤梨酥","高热量"
"凤梨酥","高糖"
"品客 薯片(原味)","高热量"
"品客 薯片(原味)","高糖"
"品客 薯片(原味)","高脂肪"
"月饼(奶油连芸)","高热量"
"月饼(奶油连芸)","高糖"
"锄禾 黑芝麻核桃粉","高热量"
"锄禾 黑芝麻核桃粉","高糖"
"果乐果香 夹心饼干","高热量"
"果乐果香 夹心饼干","高糖"
"卫龙 辣条","高热量"
"卫龙 辣条","高脂肪"
"乐购 山楂片","高热量"
"乐购 山楂片","高糖"
"诺梵 100％黑巧克力","高热量"
"诺梵 100％黑巧克力","高脂肪"
"诺梵 100％黑巧克力","高蛋白"
"枸杞","高热量"
"枸杞","高糖"
"枸杞","高蛋白"
"枸杞","高纤维"
"燕窝","高热量"
"燕窝","高蛋白"
"阿胶","高热量"
"阿胶","高蛋白"
"My protein my protein  蛋白粉","高热量"
"My protein my protein  蛋白粉","高蛋白"
"仲夏夜 鸡胸肉丸(原味)","高蛋白"
"七年五季 鸡胸肉丸(香辣味)","高蛋白"
"澳佳宝 鱼油","高热量"
"澳佳宝 鱼油","高脂肪"
"麦当劳 麦香鸡","高热量"
"麦当劳 麦香鸡","高蛋白"
"哇哈哈 AD钙","低热量"
"油面筋","高热量"
"油面筋","高脂肪"
"油面筋","高蛋白"
"蚕蛹","高热量"
"蚕蛹","高蛋白"
"田园主义 高纤双拼奇亚籽燕麦片","高热量"
"田园主义 高纤双拼奇亚籽燕麦片","高蛋白"
"田园主义 高纤双拼奇亚籽燕麦片","高纤维"
"雀巢咖啡 醇品速溶咖啡","高热量"
"雀巢咖啡 醇品速溶咖啡","高蛋白"
"康宝莱 营养蛋白粉","高热量"
"康宝莱 营养蛋白粉","高蛋白"
"Swisse 乳清蛋白粉","高热量"
"Swisse 乳清蛋白粉","高蛋白"
"东阿阿胶 阿胶糕","高热量"
"东阿阿胶 阿胶糕","高脂肪"
"东阿阿胶 阿胶糕","高蛋白"
"PHD SMART PhD smart bar 蛋白棒","高热量"
"PHD SMART PhD smart bar 蛋白棒","高蛋白"
"茯苓","高糖"
"茯苓","高纤维"
"穗儿 魔芋面","高热量"
"穗儿 魔芋面","高糖"
"穗儿 魔芋面","高蛋白"
"必胜客 超级至尊披萨(12寸铁盘)","高热量"
"必胜客 超级至尊披萨(12寸铁盘)","高蛋白"
"珍珠","低热量"
"光明 牌切达原味芝士片","高热量"
"光明 牌切达原味芝士片","高脂肪"
"光明 牌切达原味芝士片","高蛋白"
"贡梨","低热量"
"ON 蛋白粉","高热量"
"ON 蛋白粉","高蛋白"
"型食主义 全豆浆粉","高热量"
"型食主义 全豆浆粉","高蛋白"
"型食主义 全豆浆粉","高纤维"
"Swisse 深海鱼油","高热量"
"Swisse 深海鱼油","高脂肪"
"橙子快跑 鸡胸肉丸(香辣味)","高蛋白"
"五谷磨房 高纤魔芋代餐粉","高热量"
"五谷磨房 高纤魔芋代餐粉","高糖"
"五谷磨房 高纤魔芋代餐粉","高纤维"
"悠诗诗 NO.114","高热量"
"悠诗诗 NO.114","高糖"
"悠诗诗 NO.114","高蛋白"
"悠诗诗 NO.114","高纤维"
"七年五季 全麦面包(芝麻版)","高热量"
"七年五季 全麦面包(芝麻版)","高蛋白"
"七年五季 全麦面包(芝麻版)","高纤维"
"必胜客 夏威夷风光披萨(12寸铁盘)","高热量"
"必胜客 夏威夷风光披萨(12寸铁盘)","高蛋白"
"蒙牛 每日鲜语0脂肪鲜牛奶","低热量"
"怡浓 迪布玛100％黑巧克力","高热量"
"怡浓 迪布玛100％黑巧克力","高脂肪"
"怡浓 迪布玛100％黑巧克力","高蛋白"
"鲨鱼菲特 魔芋丝","低热量"
"陈皮","高热量"
"陈皮","高糖"
"陈皮","高纤维"
"初吉 初吉乳清蛋白棒白巧克力","高热量"
"初吉 初吉乳清蛋白棒白巧克力","高蛋白"
"雅培 安素肠内营养粉剂","高热量"
"雅培 安素肠内营养粉剂","高糖"
"雅培 安素肠内营养粉剂","高蛋白"
"娃哈哈 爽歪歪营养酸奶饮品","低热量"
"李子园 草莓牛奶","低热量"
"澳佳宝 FISHOIL1000深海鱼油1000","高热量"
"澳佳宝 FISHOIL1000深海鱼油1000","高脂肪"
"维维 无添加蔗糖豆奶粉","高热量"
"维维 无添加蔗糖豆奶粉","高糖"
"维维 无添加蔗糖豆奶粉","高蛋白"
"维维 无添加蔗糖豆奶粉","高纤维"
"纽崔莱 卵磷脂","高热量"
"纽崔莱 卵磷脂","高脂肪"
"纽崔莱 卵磷脂","高蛋白"
"西洋参","高热量"
"西洋参","高糖"
"西洋参","高纤维"
"DHC 8种维生素B","高热量"
"DHC 8种维生素B","高糖"
"DHC 8种维生素B","高蛋白"
"DHC 8种维生素B","高纤维"
"小仙炖 鲜炖无糖燕窝","低热量"
"穗儿 荞麦面(升级版)","高热量"
"穗儿 荞麦面(升级版)","高糖"
"穗儿 荞麦面(升级版)","高蛋白"
"DHC 浓缩膳食纤维粉","高纤维"
"必胜客 超级至尊披萨(6寸迷你)","高热量"
"必胜客 超级至尊披萨(6寸迷你)","高蛋白"
"雀巢咖啡 雀巢醇品速溶咖啡","高热量"
"雀巢咖啡 雀巢醇品速溶咖啡","高蛋白"
"型食主义 燕麦麸皮粉","高热量"
"型食主义 燕麦麸皮粉","高蛋白"
"型食主义 燕麦麸皮粉","高纤维"
"健美生 维生素B","高热量"
"健美生 维生素B","高糖"
"vida glow Vida glow 胶原蛋白粉","高热量"
"vida glow Vida glow 胶原蛋白粉","高蛋白"
"农夫山泉 无蔗糖拿铁","低热量"
"当归","高热量"
"当归","高蛋白"
"当归","高纤维"
"楼上  即食燕窝","低热量"
"火麻仁","高热量"
"火麻仁","高脂肪"
"火麻仁","高蛋白"
"火麻仁","高纤维"
"黄芪","高热量"
"黄芪","高蛋白"
"黄芪","高纤维"
"健美生 维生素C","高热量"
"太阳鱼","高蛋白"
"樱花 大麦若叶","高热量"
"樱花 大麦若叶","高蛋白"
"樱花 大麦若叶","高纤维"
"生和堂 龟苓膏","低热量"
"美达施 膳食纤维粉(幼滑香橙味)","高热量"
"美达施 膳食纤维粉(幼滑香橙味)","高糖"
"美达施 膳食纤维粉(幼滑香橙味)","高纤维"
"紫苏(鲜)","高纤维"
"小仙炖 冰糖燕窝","低热量"
"美乐家 多种维生素矿物质片女士型","高纤维"
"黑全麦粉","高热量"
"黑全麦粉","高糖"
"黑全麦粉","高蛋白"
"方家铺子 虫草花","高热量"
"方家铺子 虫草花","高糖"
"方家铺子 虫草花","高蛋白"
"薄荷(鲜)","低热量"
"薄荷(鲜)","高纤维"
"能量棒","高维生素B1"
"酵母","高维生素B1"
"培根","高维生素B1"
"小麦胚粉","高维生素B1"
"素食汉堡","高维生素B1"
"香肠","高维生素B1"
"葵花子仁","高维生素B1"
"小麦胚芽","高维生素B1"
"亚麻籽","高维生素B1"
"大麻籽","高维生素B1"
"松子","高维生素B1"
"澳洲坚果","高维生素B1"
"燕麦麸皮","高维生素B1"
"红花籽仁","高维生素B1"
"面条","高维生素B1"
"四棱豆","高维生素B1"
"面包屑","高维生素B1"
"霹雳果","高维生素B1"
"腊肉","高维生素B1"
"黑豆","高维生素B1"
"黑龟豆","高维生素B1"
"麦片","高维生素B1"
"意大利面","高维生素B1"
"大豆","高维生素B1"
"扁豆","高维生素B1"
"开心果","高维生素B1"
"罂粟籽","高维生素B1"
"豇豆","高维生素B1"
"四棱豆叶","高维生素B1"
"粗粒小麦粉","高维生素B1"
"芥末","高维生素B1"
"猪大排","高维生素B1"
"豆类","高维生素B1"
"咸肉","高维生素B1"
"燕麦","高维生素B1"
"鼠尾草","高维生素B1"
"棉籽仁","高维生素B1"
"蔓越莓","高维生素B1"
"花生仁","高维生素B1"
"豌豆","高维生素B1"
"花豆","高维生素B1"
"澳大利亚坚果","高维生素B1"
"大豆粉","高维生素B1"
"豆粕","高维生素B1"
"黄豆","高维生素B1"
"花卷","高维生素B1"
"大腊肠","高维生素B1"
"芝麻","高维生素B1"
"叉烧肉","高维生素B1"
"山核桃","高维生素B1"
"大麦","高维生素B1"
"榛子","高维生素B1"
"鸽子豌豆","高维生素B1"
"花生","高维生素B1"
"羽扇豆","高维生素B1"
"孜然","高维生素B1"
"绿豆","高维生素B1"
"奇亚籽","高维生素B1"
"巴西栗","高维生素B1"
"芸豆","高维生素B1"
"培根片","高维生素B1"
"面包","高维生素B1"
"马牙大豆","高维生素B1"
"大米","高维生素B1"
"番茄","高维生素B1"
"松饼","高维生素B1"
"蚕豆","高维生素B1"
"啤酒香肠","高维生素B1"
"华夫饼","高维生素B1"
"糙米","高维生素B1"
"猪肉","高维生素B1"
"百吉饼","高维生素B1"
"辣椒","高维生素B1"
"小麦麸皮","高维生素B1"
"迷迭香","高维生素B1"
"百里香","高维生素B1"
"金华火腿","高维生素B1"
"全麦面粉","高维生素B1"
"豆腐","高维生素B1"
"面包果种子","高维生素B1"
"汤","高维生素B1"
"鹰嘴豆","高维生素B1"
"鸡心","高维生素B1"
"德式小香肠","高维生素B1"
"洋葱粉","高维生素B1"
"大红菇","高维生素B2"
"牛奶粉","高维生素B2"
"驼鹿肝","高维生素B2"
"橙汁饮料","高维生素B2"
"香杏丁蘑","高维生素B2"
"香菜","高维生素B2"
"羊肚菌","高维生素B2"
"猪肝","高维生素B2"
"羊肾","高维生素B2"
"香杏片口蘑","高维生素B2"
"杏仁","高维生素B2"
"羊肝","高维生素B2"
"德国式熏肝香肠","高维生素B2"
"松蘑","高维生素B2"
"冬菇","高维生素B2"
"咖啡","高维生素B2"
"龙蒿","高维生素B2"
"牛肝","高维生素B2"
"香菇","高维生素B2"
"婴儿奶粉","高维生素B2"
"辣椒粉","高维生素B2"
"火鸡肝","高维生素B2"
"罗勒","高维生素B2"
"奶酪","高维生素B2"
"普中红蘑","高维生素B2"
"母乳化奶粉","高维生素B2"
"蘑菇","高维生素B2"
"鸡肝","高维生素B2"
"鸭肝","高维生素B2"
"桂圆肉","高维生素B2"
"紫菜","高维生素B2"
"黄螺","高维生素B2"
"黄蘑","高维生素B2"
"黄鳝","高维生素B2"
"驯鹿肉","高维生素B2"
"巴旦木","高维生素B2"
"鸭心","高维生素B2"
"牛肾","高维生素B2"
"法兰克福","高维生素B2"
"全脂速溶牛奶粉","高维生素B2"
"鸭胰","高维生素B2"
"苜蓿","高维生素B2"
"全脂牛奶粉","高维生素B2"
"南瓜粉","高维生素B2"
"榛蘑","高维生素B2"
"猪肾","高维生素B2"
"奶豆腐","高维生素B2"
"酸梅晶","高维生素B2"
"汤菜","高维生素B2"
"辣木叶","高维生素B2"
"苦豆子","高维生素B2"
"龙舌兰","高维生素B2"
"桑葚","高维生素B2"
"豆腐丝","高维生素B2"
"鸭蛋黄","高维生素B2"
"鹅蛋黄","高维生素B2"
"可可粉","高维生素B2"
"食用黄麻","高维生素B2"
"龙牙豆","高维生素B2"
"发菜","高维生素B2"
"牛至","高维生素B2"
"蛋黄","高维生素B2"
"白鲸","高维生素B2"
"金丝小枣","高维生素B2"
"腊羊肉","高维生素B2"
"麋鹿肉","高维生素B2"
"鹌鹑蛋","高维生素B2"
"猪心","高维生素B2"
"黄油渣","高维生素B2"
"火鸡蛋","高维生素B2"
"雅培","高维生素B2"
"角豆粉","高维生素B2"
"红肖梨","高维生素B2"
"红螺","高维生素B2"
"豆瓣酱","高维生素B2"
"鸡蛋","高维生素B2"
"猴面包树粉","高维生素B6"
"青椒","高维生素B6"
"红牛","高维生素B6"
"香叶","高维生素B6"
"大蒜粉","高维生素B6"
"洋葱","高维生素B6"
"麸皮","高维生素B6"
"大蒜","高维生素B6"
"马郁兰","高维生素B6"
"胡萝卜","高维生素B6"
"金枪鱼","高维生素B6"
"藏红花","高维生素B6"
"白玉米","高维生素B6"
"黄玉米","高维生素B6"
"芹菜籽","高维生素B6"
"三文鱼","高维生素B6"
"棕榈心","高维生素B6"
"葵花子","高维生素B6"
"苦瓜","高维生素B6"
"西红柿种子","高维生素B6"
"鹅肝","高维生素B6"
"西梅干","高维生素B6"
"野鸡","高维生素B6"
"糙米粉","高维生素B6"
"橡子","高维生素B6"
"橡子粉","高维生素B6"
"山毛榉","高维生素B6"
"栗子","高维生素B6"
"大麦麦芽粉","高维生素B6"
"八角","高维生素B6"
"鸸鹋肉","高维生素B6"
"鸭胸脯肉","高维生素B6"
"莲子","高维生素B6"
"姜粉","高维生素B6"
"玉米","高维生素B6"
"玉米粒","高维生素B6"
"牛肉","高维生素B6"
"剑鱼","高维生素B6"
"鹌鹑","高维生素B6"
"胡芦巴籽","高维生素B6"
"火鸡","高维生素B6"
"玉米面","高维生素B6"
"苋菜籽","高维生素B6"
"针叶樱桃","高维生素C"
"针叶樱桃汁","高维生素C"
"酸枣","高维生素C"
"果味饮料","高维生素C"
"玫瑰果","高维生素C"
"枣","高维生素C"
"沙棘","高维生素C"
"大白菜","高维生素C"
"黑醋栗","高维生素C"
"黑加仑","高维生素C"
"欧芹","高维生素C"
"油菜","高维生素C"
"墨西哥胡椒","高维生素C"
"蜜枣","高维生素C"
"落葵","高维生素C"
"羽衣甘蓝","高维生素C"
"猕猴桃","高维生素C"
"西兰花","高维生素C"
"苹果汁","高维生素C"
"莳萝","高维生素C"
"抱子甘蓝","高维生素C"
"菜花","高维生素C"
"菠菜","高维生素C"
"甘蓝菜","高维生素C"
"酸刺","高维生素C"
"芥菜","高维生素C"
"番茄汁","高维生素C"
"鱼腥草","高维生素C"
"水芹","高维生素C"
"番石榴","高维生素C"
"豌豆苗","高维生素C"
"柿子","高维生素C"
"油菜薹","高维生素C"
"中华猕猴桃","高维生素C"
"余甘子","高维生素C"
"球茎甘蓝","高维生素C"
"柚子","高维生素C"
"木瓜","高维生素C"
"萝卜叶","高维生素C"
"脐橙","高维生素C"
"草莓","高维生素C"
"韭菜","高维生素C"
"枸杞","高维生素C"
"红菜薹","高维生素C"
"卷心菜","高维生素C"
"菠萝","高维生素C"
"地瓜叶","高维生素C"
"独行菜","高维生素C"
"蔬菜汁餐前开胃菜","高维生素C"
"乐陵枣","高维生素C"
"橙子","高维生素C"
"红果","高维生素C"
"柠檬","高维生素C"
"豆瓣菜","高维生素C"
"败酱","高维生素C"
"芋头叶","高维生素C"
"萝卜缨","高维生素C"
"橙汁","高维生素C"
"花椰菜","高维生素C"
"金丝瓜","高维生素E"
"小蓟","高维生素E"
"猪蹄","高维生素E"
"鸡蛋白","高维生素E"
"马铃薯","高维生素E"
"土豆","高维生素E"
"樱桃香草布丁","高维生素E"
"味噌","高维生素E"
"纳豆","高维生素E"
"珍珠大麦","高维生素E"
"鸡精","高维生素E"
"蒲公英叶","高维生素E"
"红元帅苹果","高维生素E"
"橘子汁","高维生素E"
"苜蓿籽","高维生素E"
"蜜瓜","高维生素E"
"菠萝汁","高维生素E"
"紫花苜蓿种子芽","高维生素E"
"百香果","高维生素E"
"海蜇","高维生素E"
"菜瓜","高维生素E"
"婆罗门参","高维生素E"
"西瓜","高维生素E"
"鸡腿","高维生素E"
"油豆角","高维生素E"
"黄瓜","高维生素E"
"萝卜","高维生素E"
"甜菜","高维生素E"
"甜菜根","高维生素E"
"牛奶","高维生素E"
"葡萄柚汁","高维生素E"
"竹笋","高维生素E"
"酸模","高维生素E"
"苣荬菜","高维生素E"
"奶片","高维生素E"
"苹果","高维生素E"
"樱桃","高维生素E"
"海枣","高维生素E"
"哈密瓜","高维生素E"
"小米","高维生素E"
"火鸡肉汁","高维生素E"
"犹太逾越节薄饼","高维生素E"
"麦芽饮料混合物","高维生素E"
"祝光苹果","高维生素E"
"烧鹅","高维生素E"
"火鸡腿","高维生素E"
"狗母鱼","高维生素E"
"麦芽混合饮料粉","低胆固醇"
"酱汁","低胆固醇"
"巧克力","低胆固醇"
"海鲜酱汁","低胆固醇"
"海蜇皮","低胆固醇"
"辣牛肉酱与豆","低胆固醇"
"海蜇头","低胆固醇"
"甜甜圈","低胆固醇"
"人奶","低胆固醇"
"奶昔","低胆固醇"
"鲱鱼","低胆固醇"
"士力架","低胆固醇"
"圣代","低胆固醇"
"酸奶","低胆固醇"
"水果冰淇淋","低胆固醇"
"蛋黄酱","低胆固醇"
"果味奶","低胆固醇"
"阿拉斯加帝王蟹","低胆固醇"
"牛奶巧克力","低胆固醇"
"安康鱼","低胆固醇"
"比萨","低胆固醇"
"潜艇三明治","低胆固醇"
"羊奶","低胆固醇"
"三明治","低胆固醇"
"鲒花","低胆固醇"
"鸭掌","低胆固醇"
"炼乳","低胆固醇"
"石斑鱼","低胆固醇"
"鲷鱼","低胆固醇"
"喜乐","低胆固醇"
"嫩鸡胸肉","低胆固醇"
"美式香蕉面包","低胆固醇"
"面包鱼","低胆固醇"
"鸡肉馅饼","低胆固醇"
"龙利鱼","低胆固醇"
"芝士汉堡","低胆固醇"
"鸭皮","低胆固醇"
"风干肠","低胆固醇"
"兔肉","低胆固醇"
"鳐鱼","低胆固醇"
"多宝鱼","低胆固醇"
"鸭翅","低胆固醇"
"火鸡胸脯肉","低胆固醇"
"海参","低胆固醇"
"乌龟","低胆固醇"
"蜗牛","低胆固醇"
"青蛙腿","低胆固醇"
"猪血","低胆固醇"
"蒜肠","低胆固醇"
"牛蹄筋","低胆固醇"
